Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-1687.27980164738,-17711.53548222,,-371.036961828053,8759.48208039892,-0.00495300345573327,224814.753712389,90.3466662850668,90.6321780698685,27.8670762409716,410.622621963298,6.68589963976698,6.68837944030782,4.06364808360501,0.00304416024937743,0.226501962712364,0.226476895165062,0.334815445561339,1.11203044181179e-05,0.0689073993869724,0,94.5851724980874,99.7467783269509,10.2559079583379,4.55424641968068,94.5578185684354,99.8088228071582,10.2508171887582,184628282.146475,-2947.23380065716,-3314.77281934175,-144.204266529121
1000,-1687.27980350777,-17712.6070532443,,-371.036992233674,8759.48334580742,-0.00495314977563422,224814.754773814,90.3466330925232,90.632214925862,27.8670391161322,410.622622392739,6.68589982344336,6.68837966822249,4.06364750731116,0.00304416024695224,0.226501962286727,0.226476894826157,0.334815493681274,1.11203043968171e-05,0.0689073998793568,0,94.5737709200584,99.7875092222531,10.2532022159036,0.48170033860012,94.5578294889035,99.8088771838727,10.250821480741,184628308.818166,-2946.07656882347,-3319.76278164494,-143.966551906619
1500,-1687.27980364491,-17712.9580176431,,-371.036996780875,8759.48341222477,-0.00495317529031879,224814.75483947,90.346621268716,90.6322192111061,27.8670334889456,410.622622419404,6.68589983176615,6.68837968532091,4.0636474222855,0.00304416024682524,0.226501961658246,0.226476894152524,0.33481549631413,1.11203043953759e-05,0.0689073991696173,0,94.5649173332299,99.7999558997531,10.2523102135881,0.269209583820484,94.5578316921361,99.8088837380705,10.2508219232911,184628310.21808,-2945.08733437821,-3321.44354377044,-143.880404011138
2000,-1687.27980367173,-17713.0358909317,,-371.036997218713,8759.48347043907,-0.00495318401397398,224814.754855745,90.3466188823779,90.632220408288,27.8670313448093,410.622622422981,6.68589983357804,6.68837968879506,4.06364741201424,0.00304416024683468,0.226501961699243,0.22647689420128,0.334815496984489,1.11203043955601e-05,0.0689073992633447,0,94.5611872381531,99.8031235894015,10.2514736546258,0.0767453016387094,94.5578320843592,99.8088855697364,10.2508222510608,184628311.445093,-2944.6312151279,-3321.88077828019,-143.791722925967
2500,-1687.27980367821,-17713.1208892978,,-371.036997324817,8759.48347835278,-0.00495318633494384,224814.754861122,90.3466183325285,90.6322206793221,27.8670307461872,410.622622424657,6.68589983382058,6.6883796895593,4.0636474089647,0.00304416024682798,0.22650196168665,0.226476894187349,0.334815497083336,1.11203043954979e-05,0.068907399239924,0,94.5603872382904,99.8063220223665,10.2512445047018,0.0511204447341314,94.5578320863742,99.8088859882899,10.2508223061855,184628311.611895,-2944.52984340818,-3322.36724927822,-143.766778881785
3000,-1687.27980368028,-17713.1219133189,,-371.036997361856,8759.48348993243,-0.00495318715624326,224814.754862401,90.3466180876471,90.6322207676751,27.8670305854258,410.622622424862,6.6858998336719,6.68837968968943,4.06364740770725,0.00304416024683017,0.226501961682978,0.226476894183454,0.334815497160515,1.11203043955295e-05,0.0689073992320495,0,94.5598230817104,99.8064988558897,10.2510981840332,0.0124953084256703,94.5578321441653,99.8088861090392,10.2508223111774,184628311.855965,-2944.45655588232,-3322.39008048425,-143.749399586136
3500,-1687.27980368105,-17713.1252395994,,-371.036997349107,8759.48349041223,-0.00495318657418996,224814.754862917,90.3466178962122,90.6322207998529,27.8670305303049,410.622622425,6.68589983375199,6.68837968979666,4.06364740743023,0.00304416024683052,0.226501961683994,0.226476894185004,0.334815497180839,1.11203043955359e-05,0.0689073992366354,0,94.5588953735535,99.8065777509151,10.2510532416542,0.010973469898552,94.5578322801549,99.8088861412969,10.2508223191325,184628311.866078,-2944.33008191929,-3322.40025908343,-143.744015551734
4000,-1687.27980368141,-17713.1514408083,,-371.036997338524,8759.48349080395,-0.00495318714922,224814.754863138,90.3466178592901,90.6322208299027,27.8670304895904,410.622622425072,6.68589983373608,6.68837968980691,4.06364740724605,0.00304416024683023,0.226501961685918,0.22647689418675,0.334815497182751,1.11203043955327e-05,0.0689073992387642,0,94.5589170534147,99.8075678821544,10.2509693906788,0.00969544484932072,94.557832214158,99.8088861901496,10.2508223242309,184628311.874335,-2944.33372113337,-3322.56121301609,-143.733252319989
4500,-1687.27980368158,-17713.1522620561,,-371.036997343207,8759.48349121376,-0.004953186988035,224814.754863224,90.3466178308787,90.632220836765,27.8670304717716,410.622622425074,6.6858998337438,6.68837968982807,4.06364740717523,0.00304416024683051,0.226501961685862,0.226476894186673,0.334815497182348,1.11203043955351e-05,0.0689073992387433,0,94.5587064086445,99.8075997335169,10.2509621959495,0.00833586826426114,94.5578322594318,99.8088862070592,10.250822326922,184628311.882973,-2944.303437301,-3322.56521515495,-143.732448844298
5000,-1687.27980368168,-17713.1692794097,,-371.036997352694,8759.48349180842,-0.0049531869236133,224814.754863289,90.3466178105404,90.6322208443848,27.8670304636889,410.622622425076,6.68589983373145,6.68837968982902,4.06364740713719,0.00304416024683069,0.22650196168712,0.226476894187836,0.334815497184512,1.11203043955369e-05,0.0689073992404528,0,94.5585427850119,99.8081589450947,10.2509568466915,0.00635296858785495,94.5578322847888,99.8088862197268,10.2508223287449,184628311.895507,-2944.28001771331,-3322.66067481367,-143.731837823004
5500,-1687.27980368173,-17713.1688734559,,-371.036997354352,8759.48349312257,-0.00495318701946387,224814.754863339,90.3466178057244,90.6322208467115,27.8670304582847,410.622622425087,6.68589983373278,6.68837968983636,4.06364740709684,0.00304416024683066,0.226501961687122,0.226476894187807,0.334815497185453,1.11203043955368e-05,0.0689073992407082,0,94.5585245473449,99.8081627641818,10.2509583456534,0.00195339514742088,94.5578322824785,99.8088862188535,10.2508223286891,184628311.923206,-2944.27741335375,-3322.66089991668,-143.732072963493
