Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-1702.52781583567,-18259.3471446187,,-3.47776580980711,,,228015.420254816,62.6140121427851,62.8065913339622,10.6803775719058,413.535320757425,4.90784404275189,4.90954417851565,2.11087478692686,0.00302271882287053,0.501746781793473,0.501728435220541,0.834603048924605,1.09642039966784e-05,0.475911251171266,0,65.5743194466933,68.7918170745877,3.64345955065939,100.139647004484,65.4038588222335,69.0104902191793,3.63394914773081,188584506.979328,-2052.86290609336,-2275.23112094124,-50.6162442661398
1000,-1702.52797393933,-18265.2069081866,,-3.4799674519149,,,228015.477280898,62.6124079526283,62.8076024949163,10.679889090671,413.535344663089,4.90784906396594,4.90955206225985,2.11085685803993,0.00302271883662582,0.501759537085279,0.501741190396277,0.834632110263369,1.09642055441869e-05,0.475981855189496,0,65.4667717731214,68.9311168912804,3.6394222473561,32.3397244555033,65.4043212512217,69.011964480365,3.63404997178363,188584990.005414,-2044.44120458513,-2289.15941579591,-50.367305846941
1500,-1702.52799656801,-18265.553246275,,-3.48036027237044,,,228015.486665464,62.6122770468018,62.8077476715736,10.6797919789147,413.535348507331,4.90785106708529,4.90955435009082,2.11085439692268,0.00302271882640705,0.501759421354027,0.501741074472588,0.834632672935153,1.09642054543447e-05,0.475983346019376,0,65.4403104728296,68.9392239817722,3.63724584797801,8.19069260871039,65.4044322503631,69.0121586764574,3.63407634023777,188585151.117059,-2042.06690673094,-2289.89395007875,-50.2092489652838
2000,-1702.52800379018,-18267.1568979218,,-3.48047973815181,,,228015.490061565,62.6121944832406,62.8078221917278,10.6797601070015,413.535349994402,4.90785146921222,4.90955484289562,2.11085357534668,0.00302271882067936,0.501759307294512,0.501740960526192,0.834632552757164,1.09642054226988e-05,0.475983733853031,0,65.4235037495525,68.9775463861997,3.63625975772678,4.77696279087594,65.4044500746652,69.0122702180489,3.63408438555799,188585175.985026,-2040.46250100548,-2294.26276676644,-50.1301598791134
2500,-1702.52800618273,-18267.2595571831,,-3.4805292230443,,,228015.491119309,62.6121742816554,62.807843391701,10.6797436787229,413.535350358941,4.90785159409467,4.90955501261147,2.11085319146464,0.0030227188197598,0.501759314989156,0.501740968213882,0.834632657005907,1.09642054170717e-05,0.475984011277715,0,65.4177433659399,68.9811060681693,3.63550032138419,3.10618890074793,65.4044593321014,69.0123005298677,3.63408670535393,188585187.585902,-2039.88495467077,-2294.63498761002,-50.0666412203014
3000,-1702.52800711384,-18267.9791832866,,-3.48055431679915,,,228015.49165472,62.612164638663,62.8078563912215,10.6797360135645,413.535350555566,4.90785166102991,4.9095551060845,2.11085304300672,0.0030227188193313,0.501759308134792,0.501740961316099,0.83463267823927,1.09642054152767e-05,0.475984138842101,0,65.4168434285681,68.9992697888237,3.63491586422626,1.23946681619631,65.4044624737294,69.0123201997869,3.63408805445695,188585199.875723,-2039.81061111648,-2296.92203844341,-50.0132479439673
3500,-1702.52800754638,-18267.9855606394,,-3.48056296314139,,,228015.491846935,62.6121577247166,62.8078601914797,10.6797332157036,413.53535061979,4.90785169263529,4.90955514070363,2.11085297851501,0.00302271881931381,0.501759306528132,0.501740959700812,0.834632680801912,1.09642054161759e-05,0.475984162346739,0,65.4103291656986,68.9992768825806,3.6347668271356,0.821874144787706,65.4044652239621,69.0123254718586,3.63408877885993,188585202.697665,-2039.07917652148,-2296.88580980936,-50.0007140780225
4000,-1702.52800775337,-18268.0780734679,,-3.48056785954007,,,228015.491950476,62.6121554826262,62.8078621005688,10.6797318160524,413.535350655715,4.90785170494373,4.90955515708904,2.11085294347778,0.00302271881928265,0.501759305896976,0.501740959093587,0.834632680536413,1.09642054161372e-05,0.475984188239835,0,65.4096390308976,69.0014874413348,3.63451195005993,0.514440610600346,65.4044660258504,69.0123281619675,3.63408913129064,188585204.736861,-2039.0090796759,-2297.17776778905,-49.9745348727984
4500,-1702.52800787166,-18268.1730909173,,-3.48057139037865,,,228015.492003651,62.6121540429621,62.8078633649674,10.6797311380121,413.535350675078,4.90785170486275,4.90955515922885,2.11085291965571,0.00302271881924264,0.501759305978932,0.501740959167132,0.834632683692548,1.09642054159254e-05,0.475984194972242,0,65.4092224627242,69.0038497776655,3.63451929878296,0.441322020021843,65.4044658708916,69.0123301027783,3.63408932988823,188585205.250253,-2038.96709112297,-2297.49524514798,-49.9758300774286
5000,-1702.52800794203,-18268.1895695966,,-3.48057317291156,,,228015.492038445,62.612153477587,62.8078640943483,10.6797306593034,413.535350686262,4.90785171192742,4.90955516768465,2.11085290894468,0.00302271881925693,0.501759306029559,0.501740959211214,0.834632689476534,1.09642054162752e-05,0.475984202431394,0,65.409110600995,69.0044422081519,3.63449832544571,0.321176022045428,65.4044664593528,69.0123311046665,3.63408943470529,188585206.041074,-2038.95622962944,-2297.57081696386,-49.9740272407874
