Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-774.797547109658,-5028.12730851741,,-61.6177510055668,1038.09947979468,-0.0098626499295814,39965.3223519612,89.786055846274,90.786219938326,27.8889959007992,182.494557673218,6.68091951060453,6.69159874758335,4.06510965809722,0.00639292039684858,0.226512320294827,0.226402295044977,0.334708493783148,4.67082016708317e-05,0.0689028351864802,-1.93860899409313e-15,89.8564605142727,100.557680993829,10.270476558919,0.0899223963070499,89.8277944640629,100.610868607052,10.2646855578488,10940288.5862695,-2680.62670917457,-3358.94744644909,-144.550638169841
1000,-774.797548132619,-5029.21053058835,,-61.6177600203759,1038.0995102143,-0.00986272281812738,39965.3225442874,89.786006258522,90.786245727482,27.888957119061,182.494557889762,6.68091952448556,6.69159883654055,4.06510936292408,0.00639292039609395,0.226512322741611,0.226402296997462,0.334708510524524,4.67082016968534e-05,0.0689028413897234,-5.42476063648146e-15,89.8341587620673,100.597225334471,10.2665102456395,0.0081298009452988,89.8278022531524,100.610908045456,10.2646888579485,10940288.9068548,-2678.24699193916,-3363.92114963283,-144.198113756931
1500,-774.797548216672,-5029.34494144451,,-61.6177616775232,1038.09951223931,-0.00986273821753599,39965.3225554695,89.7860025533957,90.7862483207302,27.888953981949,182.494557901982,6.68091952873249,6.69159884816457,4.06510933196201,0.00639292039594321,0.226512322838623,0.22640229704428,0.33470851320259,4.67082016927138e-05,0.0689028415826112,-1.09798517886752e-14,89.8331666843165,100.602889250204,10.265661001071,0.00246063705224753,89.8278022286766,100.610911874826,10.2646894026881,10940288.9281959,-2678.14922034954,-3364.69244626769,-144.110974654713
2000,-774.797548233456,-5029.47117058036,,-61.6177621601993,1038.09951277723,-0.00986273906441446,39965.3225579396,89.7860010640719,90.7862491608002,27.88895282682,182.494557904678,6.68091952787655,6.69159884991081,4.0651093241724,0.00639292039591287,0.226512322796616,0.226402297017567,0.334708513494489,4.67082016923615e-05,0.068902841549209,4.78989009746341e-15,89.8312833167269,100.607429694622,10.2651960514574,0.000913524366191076,89.8278027203848,100.610913188243,10.264689566978,10940288.9338649,-2677.91838823924,-3365.36113267119,-144.060204811652
2500,-774.797548237615,-5029.48428533935,,-61.6177621254886,1038.09951300873,-0.00986274046567364,39965.3225588445,89.7860003440528,90.7862493480169,27.8889525314104,182.494557905488,6.6809195275937,6.69159885039993,4.06510932278754,0.00639292039591462,0.226512322815591,0.226402297024343,0.334708513512097,4.67082016926125e-05,0.0689028415619929,-2.88798541337406e-15,89.829769783209,100.60811045128,10.2651374348958,0.000237820330186711,89.8278027427386,100.610913462256,10.2646895831599,10940288.9363046,-2677.72461442199,-3365.4530111756,-144.0544085553
3000,-774.797548239004,-5029.48912150215,,-61.6177620816647,1038.09951305486,-0.0098627409633362,39965.3225590244,89.7860001959883,90.7862494074028,27.8889523434304,182.494557905622,6.68091952748039,6.69159885050649,4.06510932214389,0.00639292039591579,0.226512322819387,0.226402297031225,0.33470851355773,4.67082016926478e-05,0.0689028415691313,5.00788872380289e-16,89.8294057183379,100.608322494669,10.2649196229294,0.000102075820570757,89.8278027281648,100.610913545907,10.2646896016252,10940288.9367908,-2677.67590483143,-3365.48264725661,-144.028430863982
3500,-774.797548239616,-5029.52149021721,,-61.6177620774916,1038.09951306594,-0.00986274108352409,39965.3225591155,89.7860001376904,90.7862494453044,27.8889523146611,182.494557905734,6.68091952753146,6.69159885060495,4.06510932191616,0.00639292039591343,0.22651232281777,0.226402297029311,0.334708513543815,4.6708201692608e-05,0.0689028415690338,-3.0380582243045e-15,89.8292934898811,100.609577531392,10.2649110339299,7.39112812371268e-05,89.8278027688251,100.610913599804,10.2646896039954,10940288.9369075,-2677.66150206686,-3365.68857642399,-144.027473673206
4000,-774.797548239894,-5029.52595393982,,-61.6177620719436,1038.09951307499,-0.00986274117257491,39965.3225591333,89.7860000799192,90.7862494577286,27.8889522741265,182.494557905735,6.68091952750349,6.69159885064563,4.06510932176762,0.00639292039591452,0.226512322816439,0.226402297028017,0.334708513539289,4.67082016926299e-05,0.068902841567829,8.27218764583251e-15,89.8290116710198,100.60970424007,10.264809431996,4.50031830045994e-05,89.8278027685591,100.610913621373,10.2646896074133,10940288.9370029,-2677.62290712793,-3365.7078279257,-144.014222353244
4500,-774.79754824003,-5029.52755086759,,-61.6177620754656,1038.09951307734,-0.00986274109575413,39965.3225591499,89.7860000692098,90.7862494660682,27.88895226347,182.494557905755,6.68091952750757,6.69159885066407,4.06510932173443,0.00639292039591449,0.226512322816914,0.226402297027754,0.33470851354048,4.67082016926348e-05,0.0689028415684089,-2.72219677814522e-15,89.828995029971,100.609814203063,10.264807369423,3.86394224523023e-05,89.8278027990803,100.610913623837,10.2646896086185,10940288.9370277,-2677.62070568186,-3365.72397263708,-144.014091907787
5000,-774.797548240094,-5029.5311816929,,-61.6177620749842,1038.09951308031,-0.00986274123380432,39965.3225591608,89.7860000125987,90.7862494708277,27.888952256545,182.494557905764,6.6809195275092,6.69159885067608,4.06510932171712,0.00639292039591465,0.226512322816362,0.226402297027531,0.334708513538789,4.67082016926398e-05,0.0689028415681207,-4.52862501106214e-15,89.828383781602,100.609875709068,10.2648044043533,2.98512972070064e-05,89.8278027935482,100.610913636211,10.2646896097891,10940288.937059,-2677.53263873735,-3365.73388523442,-144.013779691983
