Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
200,-1666.99696268524,-16524.6549918052,,-367.727844547937,,,224815.257331593,97.7407944499284,98.055644603364,,410.623152548273,6.99812323049889,7.00085300093353,,0.00304415514903252,0.214296695828817,0.214270434921693,,1.11202624295938e-05,0.0612279503136042,0,104.156931323494,109.767468891433,,10.0376641958659,104.108573839935,109.891868467729,,184628781.102055,-3258.96750522404,-3655.467994546,
400,-1666.99696363836,-16525.6432847511,,-367.727932334587,,,224815.258898758,97.740733316108,98.0557504525429,,410.623152931169,6.99812340681441,7.00085340001355,,0.00304415514931345,0.214296678746778,0.214270415165737,,1.11202624480368e-05,0.0612279331886696,0,104.128498485213,109.845968261055,,1.6181159384509,104.108617904651,109.892030490228,,184628835.733691,-3256.07840327842,-3664.50039351874,
600,-1666.99696369223,-16525.9202317618,,-367.727933823285,,,224815.258970444,97.7406987368578,98.0557598489398,,410.623152935918,6.99812338075381,7.0008534093158,,0.00304415514938081,0.214296679619586,0.214270416146579,,1.1120262448732e-05,0.061227935112483,0,104.116030183341,109.865841028258,,0.475622757848805,104.108625122024,109.89204628966,,184628842.998863,-3254.73688266169,-3667.01153131701,
800,-1666.99696369667,-16526.196546421,,-367.727934286039,,,224815.258985798,97.7406952626409,98.0557639215483,,410.623152936232,6.99812337904343,7.00085341026579,,0.00304415514938768,0.214296679651031,0.214270416159608,,1.11202624488012e-05,0.0612279351082698,0,104.111572045042,109.886292099598,,0.0359010995036298,104.108625827911,109.892052846314,,184628845.781213,-3254.19093661406,-3669.80112604138,
1000,-1666.99696369699,-16526.2461058631,,-367.727934189039,,,224815.258986363,97.7406947595649,98.0557641012342,,410.623152936336,6.99812337905286,7.00085341029017,,0.00304415514938745,0.214296679660677,0.214270416172478,,1.11202624488007e-05,0.0612279351274985,0,104.109845783735,109.889925201116,,0.021739479854569,104.108625776846,109.892053142525,,184628845.870861,-3253.95959469597,-3670.35975446829,
1200,-1666.99696369701,-16526.2605027605,,-367.727934188561,,,224815.25898651,97.7406946884906,98.0557641272167,,410.623152936339,6.99812337904198,7.00085341029339,,0.00304415514938751,0.214296679660902,0.214270416172717,,1.11202624488017e-05,0.0612279351278201,0,104.109205201589,109.891033903407,,0.00262658390955819,104.108625818415,109.892053180102,,184628845.991142,-3253.86702441941,-3670.54243500389,
