Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
200,-6641.08529831974,-530741.586229228,,-0.00937874315361438,,,5472399.14656061,97.9684389847386,98.0071681369253,,1654.14619687681,6.9998479715288,7.00010872890989,,0.000906812246339229,0.21428594854715,0.214283380471721,,1.09641129193077e-06,0.0612242485114921,1440385397.67827,107.706061961305,109.268977231572,,1440694163.55734,107.634989267936,109.385166928495,,-146655703024.994,-3494.97573422066,-3623.82023490566,
400,-6641.08530084904,-530827.225590267,,-0.00939675356037026,,,5472399.37284952,97.9682216319363,98.0072695814519,,1654.14619768123,6.99984762566933,7.0001084780931,,0.000906812246128671,0.214286057252916,0.21428348917852,,1.0964112909623e-06,0.0612244220301335,1440673445.15649,107.641297441809,109.367959901483,,1440694239.27661,107.635113541838,109.385328031076,,-146715588506.943,-3488.51402910473,-3635.53415359309,
600,-6641.08530086511,-530829.258708436,,-0.00939706990924153,,,5472399.37423493,97.9682204262135,98.0072722152605,,1654.14619768675,6.99984763030984,7.00010848317946,,0.000906812246127375,0.21428605740044,0.214283489324603,,1.09641129096167e-06,0.0612244223828031,1440683134.06117,107.638894008092,109.380007514404,,1440694239.73191,107.635116107161,109.385332078606,,-146717835870.021,-3488.2226076469,-3637.2254407284,
800,-6641.08530086614,-530830.323726832,,-0.00939669396489936,,,5472399.37459599,97.9682196590186,98.0072724845361,,1654.1461976868,6.99984763060529,7.00010848354445,,0.000906812246127304,0.214286057374653,0.214283489299518,,1.09641129095812e-06,0.0612244223384219,1440687112.92628,107.636712883782,109.380571836976,,1440694239.85086,107.635116486825,109.385332498791,,-146718788758.129,-3487.93546889184,-3637.30006629211,
1000,-6641.08530086632,-530831.571240776,,-0.0093966852963507,,,5472399.37469819,97.9682195781643,98.0072725927619,,1654.14619768684,6.99984763059402,7.00010848355055,,0.000906812246127273,0.214286057378132,0.214283489303223,,1.096411290958e-06,0.0612244223443175,1440691183.32422,107.635913214283,109.383486154597,,1440694239.88539,107.635116536606,109.385332673593,,-146719804938.711,-3487.82027373263,-3637.75418147735,
1200,-6641.08530086634,-530831.466222678,,-0.00939670293176931,,,5472399.37469879,97.9682195586835,98.0072726078806,,1654.14619768684,6.99984763059179,7.0001084835624,,0.00090681224612727,0.214286057377573,0.214283489302636,,1.09641129095797e-06,0.0612244223435843,1440690891.08302,107.635926431881,109.384547984003,,1440694239.88553,107.63511657909,109.385332699286,,-146719729002.928,-3487.82358256879,-3637.93367518349,
