Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
200,-6594.4802574229,-516012.082186536,,-5881.69120514895,,,5395580.5424716,97.9612971258172,98.0004821580848,,1642.4951448034,6.99960725234266,6.99986886372752,,0.000913244726679055,0.214293417557848,0.214290849001228,,1.11202126663051e-06,0.0612286468008141,1410245233.91492,107.655474335702,109.259321921574,,1410465331.24735,107.613900846865,109.375243371926,,-143469846822.407,-3491.09280481579,-3623.62512940806,
400,-6594.48026093083,-516067.176869956,,-5881.69144963956,,,5395580.6918422,97.9612781241803,98.0006388134044,,1642.49514596139,6.99960871053949,6.99987035972119,,0.000913244725839014,0.214293351833625,0.214290783277322,,1.112021264322e-06,0.0612285906386876,1410430153.13522,107.62543658288,109.361350249595,,1410465380.2361,107.614032165234,109.375472324481,,-143508559523.477,-3487.95690221151,-3635.66240115776,
600,-6594.48026094497,-516070.58500579,,-5881.69145705414,,,5395580.69585222,97.9612720592378,98.0006394672829,,1642.4951459653,6.99960870798015,6.99987035858355,,0.000913244725838587,0.214293352042933,0.21429078348684,,1.11202126431924e-06,0.0612285907926496,1410447643.59818,107.618348831578,109.360584164878,,1410465381.56841,107.614036924964,109.375473308306,,-143512468583.219,-3487.11408143629,-3635.55153889905,
800,-6594.48026094769,-516074.654767238,,-5881.69145808032,,,5395580.69665772,97.9612705987974,98.0006409609596,,1642.49514596602,6.99960870853627,6.99987035943086,,0.000913244725838655,0.214293352039703,0.214290783483299,,1.11202126431961e-06,0.0612285908022847,1410459897.2696,107.615880297935,109.369306076549,,1410465381.83558,107.614038277199,109.375475713054,,-143515414009.379,-3486.80143278883,-3636.77478693547,
1000,-6594.48026094798,-516074.161623756,,-5881.69145815116,,,5395580.69673615,97.9612703042598,98.0006411818614,,1642.49514596606,6.99960870851071,6.99987035948135,,0.000913244725838667,0.214293352042772,0.214290783486874,,1.11202126431949e-06,0.0612285908073414,1410459179.13406,107.615504650378,109.372871368753,,1410465381.86091,107.614038345772,109.375476064692,,-143515220844.546,-3486.75515031215,-3637.31492044092,
1200,-6594.48026094803,-516075.159988205,,-5881.69145826936,,,5395580.69681057,97.9612701941935,98.0006412080471,,1642.49514596606,6.99960870850394,6.99987035950527,,0.000913244725838674,0.214293352042236,0.214290783486355,,1.11202126431954e-06,0.061228590806745,1410462702.96043,107.614708024045,109.37333871077,,1410465381.88588,107.614038378151,109.375476106905,,-143516105558.521,-3486.64079438987,-3637.38741294575,
