Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-786.419017182729,-5296.94463691323,,-3.37127951633186,1045.5054149306,-0.0104966550239743,40534.1699463777,47.9708715633085,48.4941699207662,6.04400226037809,183.788791283161,3.98127933284525,3.98689352173277,1.52120907583346,0.006347899904202,0.661819394152162,0.661754548765789,1.09839829300404,4.605263903021e-05,0.740094542521527,5.97884092482209e-10,47.8622177336741,53.2479336600434,1.91502394234126,15.8241464527817,47.7467061887414,53.4372737982756,1.90406220801353,11174655.3300367,-1435.18537645388,-1769.48335608571,-26.2743209349544
1000,-786.41949142221,-5301.78993442298,,-3.36913394641623,1045.51026985761,-0.0105037224548966,40534.2139998212,47.9691756064134,48.4946091662186,6.04293413958715,183.788836828359,3.98125566682633,3.98687368383903,1.52112681795898,0.00634790102082726,0.661865468074391,0.661800620233986,1.0985823015464,4.60526811927537e-05,0.740343543855624,6.9820413879145e-09,47.8023371118146,53.3434578987295,1.90872264053065,4.12642612753787,47.7457208691183,53.4377364704203,1.90412209668154,11174707.2208587,-1430.51487618748,-1778.53939709888,-25.9190522752548
1500,-786.419591342003,-5302.51251663353,,-3.36938097519644,1045.51140339679,-0.0105046682330121,40534.2276172708,47.9689345883482,48.4947283184409,6.04279030341748,183.788857357143,3.98125716848003,3.98687607130139,1.52111929361056,0.00634790072507673,0.661865325413553,0.661800475664278,1.09860133827566,4.60526805339352e-05,0.740361655732144,-1.83479005940036e-09,47.7979647033376,53.359541058518,1.90680289580665,1.68663309133943,47.7455330276653,53.4378533811644,1.9041352320203,11174719.3364444,-1430.19952564338,-1779.90664461714,-25.7869007304983
2000,-786.419632219494,-5304.66169722517,,-3.36938608739155,1045.51173983489,-0.0105052387785913,40534.2319535021,47.9686884169272,48.4947928161805,6.04272356645631,183.788863066073,3.98125760848754,3.98687683179716,1.52111541358999,0.0063479006558067,0.661865123560026,0.661800274020039,1.09860902792751,4.6052679573241e-05,0.740368083460741,3.50648558377201e-09,47.7735040537268,53.3958371616428,1.90653721244379,0.984851547619735,47.7454596016206,53.4379294935745,1.90413872719764,11174722.9323888,-1428.04036459273,-1783.9320142986,-25.7733115902215
2500,-786.419648737453,-5304.81825056726,,-3.369417570191,1045.51193730923,-0.010505621036522,40534.2337109774,47.9686122099991,48.4948210196099,6.04268054476421,183.788865163877,3.98125805852735,3.9868775006455,1.52111392192473,0.00634790064159643,0.661864501608758,0.661799651797123,1.09861143935789,4.60526796125521e-05,0.740368323669424,-1.03451666912676e-09,47.7698691127643,53.3991151709121,1.90541185828762,0.498271738130468,47.7454287617527,53.4379596223994,1.90414225178869,11174725.0430503,-1427.74684513926,-1784.21610881759,-25.6862277225475
3000,-786.419656362938,-5305.00079469586,,-3.36943857949605,1045.51200279016,-0.0105059259731496,40534.2344417223,47.9685465379793,48.4948433175846,6.04266457744028,183.788865878299,3.98125831639597,3.98687789360433,1.52111322750981,0.00634790065718842,0.661864319190808,0.661799469227068,1.09861291046529,4.60526801452971e-05,0.740368839060438,-2.98898618592717e-09,47.7614210874203,53.403818162079,1.90528489278275,0.352040299656911,47.7454171088956,53.4379870611763,1.90414434791297,11174725.742929,-1426.9505642922,-1784.68336144665,-25.6785916363918
3500,-786.419660489693,-5305.94538498456,,-3.36945764326303,1045.51206647515,-0.0105060160353222,40534.2349165239,47.9685292035515,48.4948543649876,6.04265676183585,183.788866435861,3.98125822804488,3.98687785615703,1.52111262654383,0.00634790065076993,0.661864445506891,0.661799595613668,1.09861409991742,4.60526800820609e-05,0.740370089238419,-5.77468761702629e-10,47.7601510405789,53.4210066431759,1.90526189830068,0.185851161517031,47.7454069178704,53.4380025005172,1.904145151236,11174726.4236119,-1426.8287283309,-1786.80062478822,-25.6783646899153
4000,-786.419662833837,-5305.98705366875,,-3.36946609988659,1045.51209132257,-0.0105060908325929,40534.235182085,47.968518047028,48.4948597163252,6.0426517953596,183.788866754854,3.9812582742381,3.98687793872841,1.52111236092331,0.00634790065056623,0.661864372434969,0.661799522449167,1.09861450171568,4.60526801702779e-05,0.740370133229872,-3.00901673634802e-10,47.7593948752465,53.4222582733675,1.9051873454989,0.129077061916062,47.7454020519477,53.438008577622,1.90414576985424,11174726.6891881,-1426.76093253108,-1786.92699268755,-25.6726866442167
4500,-786.419664309463,-5305.99023265994,,-3.36945948486483,1045.512105691,-0.0105061173232485,40534.2353269127,47.9685094984677,48.4948630223997,6.04264711878129,183.788866921997,3.98125839584133,3.98687807363281,1.52111231015332,0.00634790065056883,0.661864263791358,0.661799413841554,1.0986146197355,4.60526801948249e-05,0.740370037562241,5.36853432870727e-11,47.7582512806102,53.4224217403737,1.9047960018548,0.0950149288544537,47.7454004998785,53.43801195969,1.90414628808326,11174726.8427618,-1426.65604178363,-1786.92872414734,-25.6376027009844
5000,-786.419665259422,-5306.04745350713,,-3.36946360238156,1045.51211562283,-0.0105061473686105,40534.2354454599,47.9684964209865,48.4948643617354,6.04264415520715,183.788867084838,3.98125839862703,3.98687809388757,1.52111219486336,0.00634790064857436,0.661864252243819,0.661799402255221,1.09861482831978,4.60526801932049e-05,0.740370149933142,6.31496533617906e-10,47.7535585920849,53.4229498932754,1.90470774194817,0.073345091581297,47.7453995299279,53.4380131634761,1.90414665467503,11174726.948916,-1426.16313158404,-1786.98416805399,-25.6308343635266
