Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-6661.36694393542,-531964.138005919,,-3.2233964634808,,,5472398.95602414,90.5526718226249,90.5879290089948,27.8626137388418,1654.14614269191,6.68744945561291,6.68768633478854,4.06335502123729,0.000906812290345199,0.226492573049731,0.226490119946641,0.33483623110546,1.09641141910444e-06,0.0689043532790922,1440533634.23636,97.7966444336838,99.2632247620506,10.2552005364107,1440694109.65839,97.7591998641947,99.3486133577725,10.2478199912564,-146685865172.564,-3160.63652356424,-3282.46597560848,-144.319335449296
1000,-6661.36695296812,-531982.515048481,,-3.22358407797945,,,5472399.07612095,90.5526295721531,90.5880163643587,27.8624937016181,1654.1461453266,6.68745016490924,6.68768708382975,4.06335112398451,0.000906812289110094,0.22649255876214,0.22649010565076,0.334836366148436,1.0964114152452e-06,0.0689043467684083,1440608341.0157,97.775854327685,99.3134242399731,10.2520236380652,1440694148.16058,97.7592876525834,99.3487332160435,10.2478323977527,-146701255449.505,-3158.55069997748,-3288.32908862462,-144.067206767789
1500,-6661.36695360721,-532001.620442064,,-3.22359392511917,,,5472399.09484416,90.5526266705834,90.5880286254587,27.8624741125302,1654.1461454571,6.68745024033667,6.68768716456695,4.06335086599507,0.000906812289037702,0.226492556693,0.22649010359608,0.334836373401538,1.09641141486718e-06,0.0689043435354516,1440665303.66683,97.7683331414958,99.3322151867403,10.2499444379234,1440694154.4216,97.7592994572314,99.3487505038136,10.2478347711046,-146713754691.546,-3157.69118225828,-3290.75229378179,-143.877810362971
2000,-6661.36695374045,-532001.100271033,,-3.22359125659772,,,5472399.09866858,90.552621962921,90.5880317101355,27.8624685056355,1654.14614548888,6.68745025118207,6.68768717653125,4.06335080034773,0.000906812289027831,0.226492556407816,0.226490103313739,0.334836376421669,1.0964114148308e-06,0.0689043434645055,1440665534.66506,97.7660301313774,99.3396290042387,10.2486170540709,1440694155.66656,97.759302033385,99.3487550713033,10.2478353308034,-146713760366.904,-3157.44776291325,-3291.75862073532,-143.742644866274
2500,-6661.36695377228,-532006.276868812,,-3.22359212015936,,,5472399.10056697,90.5526205799573,90.5880324634224,27.862467571519,1654.14614549573,6.68745025365112,6.68768717965037,4.06335078501236,0.000906812289026839,0.226492556318746,0.226490103224755,0.334836375980296,1.09641141483199e-06,0.0689043433992338,1440683269.91433,97.7639822634506,99.3405271325685,10.2486363813367,1440694156.30304,97.7593033023873,99.3487561976783,10.2478353499774,-146717892501.642,-3157.1981707464,-3291.87650232956,-143.745837175251
3000,-6661.36695378385,-532006.481516779,,-3.22359201924178,,,5472399.10080106,90.5526194922579,90.588032835362,27.8624668646905,1654.14614549714,6.68745025405917,6.68768718017927,4.0633507807409,0.000906812289027046,0.226492556300447,0.226490103206284,0.334836376226402,1.09641141483226e-06,0.0689043434089649,1440683531.71052,97.7612009791693,99.3432636279324,10.248343612433,1440694156.37925,97.759303704659,99.348756774904,10.2478354152751,-146717950508.617,-3156.84463633154,-3292.27278758542,-143.713729609202
3500,-6661.36695378889,-532007.541426139,,-3.22359225236455,,,5472399.10111604,90.5526194368726,90.5880329795691,27.8624667773673,1654.14614549804,6.68745025365768,6.68768717991143,4.06335077899463,0.000906812289026886,0.226492556336906,0.226490103242659,0.334836376306952,1.09641141483077e-06,0.068904343431677,1440688214.7394,97.7611814437397,99.3447518990073,10.2483438671129,1440694156.48405,97.7593038314913,99.3487569666602,10.2478354200483,-146719078655.654,-3156.84223553815,-3292.49095464308,-143.713979528636
4000,-6661.36695379055,-532007.569686485,,-3.22359239606895,,,5472399.10119332,90.5526193075997,90.5880330810348,27.8624666214568,1654.14614549824,6.68745025356705,6.68768717990207,4.06335077800715,0.000906812289026934,0.226492556351037,0.226490103256722,0.334836376378428,1.09641141483039e-06,0.0689043434465922,1440688266.16193,97.7610823753807,99.3470843513013,10.2482547490874,1440694156.50923,97.75930393034,99.348757142257,10.2478354331536,-146719088423.606,-3156.83068627129,-3292.86065141125,-143.703735236368
4500,-6661.36695379152,-532007.685197265,,-3.22359238467164,,,5472399.10123066,90.5526192690771,90.5880330999672,27.8624665885537,1654.14614549846,6.68745025361526,6.68768717997276,4.06335077751407,0.000906812289026857,0.226492556347517,0.226490103253226,0.334836376387809,1.09641141483007e-06,0.0689043434417568,1440688711.96265,97.7610420851983,99.3471278060911,10.2482540995727,1440694156.52153,97.7593039514994,99.3487571720148,10.2478354332258,-146719195753.708,-3156.82586766449,-3292.86598285163,-143.70374898364
5000,-6661.36695379208,-532007.741446147,,-3.22359238519632,,,5472399.1012481,90.5526192428851,90.5880331060573,27.8624665737757,1654.1461454986,6.68745025365123,6.6876871800193,4.06335077730463,0.000906812289026803,0.226492556345832,0.226490103251573,0.334836376404709,1.09641141482977e-06,0.0689043434411777,1440688859.09311,97.7610193458177,99.3471321783457,10.2482532924093,1440694156.52715,97.7593039778845,99.3487571797627,10.2478354344072,-146719232147.389,-3156.82327242656,-3292.86665501158,-143.703676234198
5500,-6661.36695379236,-532008.666786717,,-3.22359240436346,,,5472399.10129276,90.5526191999515,90.5880331193675,27.8624665630629,1654.14614549862,6.68745025362704,6.68768718000478,4.06335077714119,0.000906812289026803,0.226492556348923,0.226490103254644,0.334836376417231,1.09641141482967e-06,0.0689043434441804,1440691691.16102,97.7607859411475,99.3472295841202,10.2482560111882,1440694156.54233,97.7593039876682,99.3487572053583,10.2478354354872,-146719953192.734,-3156.79092238406,-3292.87945858715,-143.704021053601
6000,-6661.3669537925,-532008.6642945,,-3.22359240917131,,,5472399.10130464,90.5526191882539,90.5880331261553,27.8624665498697,1654.14614549865,6.68745025362887,6.68768718000814,4.06335077702694,0.0009068122890268,0.226492556350224,0.226490103255945,0.334836376431509,1.09641141482962e-06,0.0689043434460915,1440691699.43161,97.7607712857869,99.3472538545335,10.2482442977039,1440694156.54619,97.7593039998719,99.3487572166903,10.2478354378812,-146719954881.185,-3156.78902938912,-3292.88308384844,-143.702620225973
