Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
200,-759.686916150936,-3890.78276940479,,-0.0872163988329145,,,40535.2271743216,97.135568654316,98.2285621270179,,183.79135368825,6.99282763950634,7.00447870341252,,0.00634779694027355,0.214306630441998,0.214191710659723,,4.60510364406453e-05,0.0612233415100979,3.99392060168102e-28,98.9996233136403,110.736695249663,,0.0567737458536475,98.9691520492571,110.775239684326,,11175096.0195911,-2967.04892409099,-3712.86546862422,
400,-759.686916402118,-3891.1775517538,,-0.0872115740598389,,,40535.2272469518,97.1355126307021,98.2285838996631,,183.791353765306,6.99282773087403,7.00447880026003,,0.00634779693898691,0.214306626222622,0.214191707785481,,4.60510364258682e-05,0.0612233390015618,6.51369252879994e-30,98.9742795968712,110.766331179298,,0.000781453097959673,98.9691590406191,110.775272840208,,11175096.2211372,-2964.33411001645,-3716.6909192537,
600,-759.686916405211,-3891.22889494057,,-0.0872115517108876,,,40535.2272475059,97.1355113858492,98.2285843377402,,183.791353766075,6.99282773101933,7.00447880145855,,0.00634779693895149,0.214306626131078,0.214191707710806,,4.6051036425008e-05,0.0612233388947473,-4.16836184650354e-30,98.9715062954294,110.770222904395,,0.000273823004817044,98.9691593309517,110.775273515482,,11175096.222899,-2963.98358261659,-3717.25864452577,
800,-759.686916405533,-3891.25688505578,,-0.0872115475802559,,,40535.2272475816,97.1355111344613,98.2285844635124,,183.791353766171,6.99282773090744,7.00447880155969,,0.00634779693894723,0.214306626128941,0.214191707710322,,4.60510364249132e-05,0.061223338893156,3.08765752680172e-29,98.9705866698806,110.772271397017,,8.72587788383949e-05,98.9691593870492,110.775273718734,,11175096.2235111,-2963.85935654328,-3717.57235836779,
1000,-759.686916405598,-3891.28298387794,,-0.0872115494953325,,,40535.2272476039,97.1355110888687,98.2285845146764,,183.791353766188,6.99282773088745,7.00447880156953,,0.00634779693894657,0.21430662613013,0.214191707710751,,4.60510364248939e-05,0.0612233388945222,-1.68528110128558e-30,98.9704046163137,110.774339020804,,1.48631471756089e-05,98.969159356451,110.775273792698,,11175096.2237466,-2963.83452797224,-3717.90921196084,
1200,-759.68691640561,-3891.28406130592,,-0.0872115490021474,,,40535.2272476059,97.1355110384871,98.2285845163267,,183.791353766187,6.99282773088831,7.00447880157385,,0.00634779693894671,0.214306626130032,0.214191707710681,,4.6051036424897e-05,0.0612233388944765,-3.81230426898762e-28,98.9697658187516,110.774352527477,,1.12536252885079e-05,98.9691594030925,110.775273795573,,11175096.2237587,-2963.74167898608,-3717.91153018609,
