Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-779.977180299571,-5093.5658534518,,-3.36655327199249,1045.5163015064,-0.00989195797214411,40534.3557065729,89.8000654146184,90.790361068592,27.8903622811581,183.789168541325,6.68120568061189,6.69178928422825,4.06520809532863,0.00634788807841064,0.226504853952647,0.22639529828239,0.334700419954554,4.60524809232923e-05,0.0688983835353359,-4.72133611319788e-16,89.9235989109473,100.55543227629,10.2724909400644,0.0756711170116731,89.8952443604504,100.610964997671,10.2654323608587,11174771.6888145,-2684.00993888931,-3358.54716409175,-144.669643846522
1000,-779.977181616381,-5094.68319320596,,-3.36656834370171,1045.51632688731,-0.00989206930536881,40534.3558956672,89.8000174537353,90.7903936620105,27.8903123366854,183.789168771954,6.68120582425916,6.69178951685821,4.06520783425003,0.00634788807824667,0.226504851988803,0.226395295675003,0.334700445281797,4.60524810183668e-05,0.0688983886965508,4.94048296196774e-15,89.9023474339748,100.596916567665,10.2675989663763,0.00822872835672683,89.8952527394959,100.611014061326,10.265438599051,11174771.9600928,-2681.75562365446,-3363.71669882359,-144.243382081366
1500,-779.977181704743,-5094.79122721933,,-3.36656872943835,1045.51632917245,-0.00989208519742076,40534.355912995,89.8000145925358,90.7903959432156,27.8903075083787,183.789168793555,6.68120582608401,6.69178952912976,4.06520780355061,0.00634788807779132,0.226504851669435,0.226395295299644,0.334700445355583,4.60524810113365e-05,0.0688983883677704,-5.16716134549084e-16,89.9018344572568,100.601499732725,10.266527167282,0.00225087122396062,89.8952534788697,100.611017425506,10.2654390617729,11174771.984517,-2681.70778667995,-3364.33447014121,-144.137245554702
2000,-779.977181723621,-5094.89980662267,,-3.36656850197723,1045.51632957662,-0.00989209107043141,40534.355915423,89.800012277957,90.7903968277259,27.8903060537918,183.789168795828,6.68120582737245,6.69178953272575,4.06520779696154,0.00634788807779381,0.226504851519907,0.226395295197228,0.334700445440689,4.60524810117525e-05,0.0688983882446541,8.46456842435995e-15,89.8981874941399,100.605329058586,10.2659444941803,0.00113121802707639,89.8952536354389,100.61101876597,10.2654391797788,11174771.9888369,-2681.26147038609,-3364.87843334689,-144.074462153439
2500,-779.977181727816,-5094.95313719876,,-3.36656862289304,1045.51632984672,-0.00989209208022349,40534.355916067,89.8000118023487,90.7903970381145,27.8903057920526,183.789168796315,6.68120582714306,6.69178953320325,4.06520779513011,0.00634788807779345,0.226504851532817,0.226395295190362,0.334700445470254,4.60524810117234e-05,0.068898388265957,5.83440404382736e-15,89.8971804900505,100.607391307572,10.2657708370514,0.000283410814473584,89.895253760633,100.611019079821,10.2654392082165,11174771.9917238,-2681.13115763725,-3365.18708266644,-144.054044558111
3000,-779.977181729157,-5094.99267167683,,-3.36656860468525,1045.51632989584,-0.00989209218472741,40534.3559162295,89.8000116163105,90.7903971264498,27.8903056693126,183.789168796498,6.68120582697967,6.69178953333009,4.06520779452825,0.00634788807778882,0.226504851535571,0.226395295191344,0.334700445511808,4.6052481011667e-05,0.0688983882706081,-6.92065714354438e-15,89.8969809001916,100.60885602515,10.2657248075497,0.00013236967683472,89.8952538645921,100.611019202041,10.2654392162865,11174771.9922489,-2681.10619500292,-3365.41582815862,-144.049048004962
3500,-779.977181729716,-5094.99650670576,,-3.36656860006023,1045.51632991432,-0.00989209232360583,40534.355916323,89.8000115435351,90.790397153744,27.8903055958739,183.78916879661,6.68120582695092,6.69178953339194,4.06520779435943,0.00634788807778714,0.226504851537205,0.226395295192525,0.334700445501845,4.60524810116566e-05,0.0688983882738732,-3.95276697175004e-15,89.8968572139858,100.609099272702,10.2655916087961,7.91528103842865e-05,89.8952538761101,100.611019240029,10.265439225323,11174771.9924463,-2681.09086094313,-3365.45247284358,-144.032408023272
4000,-779.97718172995,-5095.01553583403,,-3.36656860719274,1045.51632991934,-0.00989209235581835,40534.3559163579,89.8000114857113,90.7903971766411,27.890305586207,183.789168796647,6.68120582696156,6.6917895334233,4.0652077942829,0.00634788807778721,0.226504851535592,0.226395295191674,0.334700445502442,4.60524810116672e-05,0.0688983882729531,-3.82236245934087e-15,89.8965182294212,100.609809300443,10.2655905330884,6.5673373188524e-05,89.8952539045182,100.611019282121,10.2654392273551,11174771.9925,-2681.04420076108,-3365.56908604101,-144.032292992894
4500,-779.977181730067,-5095.01797536681,,-3.36656860120558,1045.51632993103,-0.00989209237442955,40534.3559163734,89.8000114243089,90.7903971796825,27.8903055703699,183.789168796654,6.68120582694005,6.69178953343006,4.06520779424376,0.0063478880777875,0.226504851536637,0.226395295192384,0.334700445505673,4.60524810116722e-05,0.068898388274239,5.31217834341322e-16,89.8958351362413,100.609816082273,10.2655652156022,2.75646856238154e-05,89.8952539131108,100.611019286005,10.2654392281679,11174771.9926249,-2680.9457321521,-3365.57012647283,-144.029025944241
5000,-779.977181730131,-5095.02976512735,,-3.36656860454068,1045.51632993332,-0.00989209232574072,40534.3559163792,89.8000114119931,90.7903971873505,27.8903055620409,183.789168796655,6.68120582693045,6.6917895334372,4.0652077941985,0.00634788807778766,0.226504851536764,0.226395295192489,0.334700445509731,4.60524810116737e-05,0.0688983882744964,1.30608859712579e-15,89.895833872529,100.610239155465,10.2655591192416,2.03449328690652e-05,89.8952539292835,100.611019298511,10.2654392291037,11174771.9926495,-2680.94611235558,-3365.6413659423,-144.028288608585
