Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-1690.87511671269,-17829.7511925151,,-371.237889592093,,,224814.625949644,62.609917822175,62.8027525038952,10.6796779191456,410.622540160556,4.90767157290901,4.90938086662386,2.11081343509257,0.00304416072923637,0.501764973740014,0.501746600639378,0.834630675798053,1.11203072413824e-05,0.475947312042827,0,65.6024561981704,68.8183235470436,3.64236252470749,109.001076556418,65.3771013552245,69.0065782176884,3.63364143959423,184627494.891818,-2055.20825523397,-2278.16207895835,-50.5661376967252
1000,-1690.87527218263,-17834.9865773909,,-371.240958437839,,,224814.698242326,62.6064792588718,62.8036457461268,10.6792772259683,410.62257208221,4.90767375325813,4.90938777580408,2.11079376601142,0.00304416069787187,0.501777546499924,0.501759172864895,0.834660376320907,1.11203081152027e-05,0.476017173671046,0,65.4169752176502,68.9311364891216,3.63878200108589,19.0079005235753,65.3773215055825,69.0079263092668,3.63374563125298,184628133.420799,-2040.88220108348,-2289.49236416271,-50.3365989993998
1500,-1690.87529413885,-17835.84352866,,-371.241324761733,,,224814.707818244,62.6064646145417,62.8037840630154,10.6791873045712,410.622576512942,4.90767591201298,4.90939014731892,2.11079238606147,0.00304416067415203,0.501776628304502,0.501758254715305,0.83465944370736,1.11203079045494e-05,0.476015892633705,0,65.4095562201195,68.9540693633524,3.63615976645359,9.36070598747677,65.3773950916171,69.0081138492936,3.63376641889301,184628203.532799,-2040.179494677,-2292.01347526657,-50.1348971886664
2000,-1690.87530114027,-17836.6031887159,,-371.241563565636,,,224814.711334959,62.6063970751789,62.8038486690365,10.6791529958638,410.622578113244,4.9076763176657,4.90939068566278,2.11079131908727,0.00304416066555658,0.50177650713162,0.501758133257683,0.834659346257672,1.11203078250037e-05,0.47601635114597,0,65.401603458523,68.9742483814377,3.63584659130941,6.27617215454771,65.3774179554339,69.0082086050532,3.63377347577003,184628226.418997,-2039.51020518996,-2294.24152588269,-50.1163578068564
2500,-1690.87530348903,-17837.0139856207,,-371.241632941586,,,224814.712485415,62.6063589728407,62.8038680944356,10.6791382141091,410.622578445482,4.90767627719584,4.90939069367154,2.11079077039234,0.00304416066632033,0.501776625385143,0.501758251520839,0.834659646110554,1.11203078384876e-05,0.476016956137553,0,65.3884738184637,68.9849954762266,3.63523132102576,2.07940253388782,65.3774267141993,69.008237370023,3.63377627180351,184628254.004046,-2038.16357620196,-2295.51723716616,-50.0645610819991
3000,-1690.87530442125,-17837.4206778524,,-371.241642622936,,,224814.712894037,62.6063580061735,62.8038775417142,10.6791305934457,410.622578577952,4.90767641122285,4.90939083691579,2.11079070016287,0.00304416066684069,0.501776617283609,0.501758243417295,0.834659677305227,1.11203078503718e-05,0.476017052100413,0,65.3885972959225,68.9942515438276,3.63457592578223,1.19581046319179,65.3774300816464,69.0082506789615,3.63377757884378,184628259.97279,-2038.18589340977,-2296.71555176948,-50.004851822169
3500,-1690.87530481353,-17837.4210011674,,-371.241652423686,,,224814.713096385,62.6063509797541,62.8038814468284,10.6791282874403,410.622578647894,4.90767642776186,4.90939086072057,2.11079062653274,0.00304416066664192,0.501776620307362,0.501758246453018,0.834659687734309,1.11203078486254e-05,0.476017100843961,0,65.3860398025434,68.9953809074289,3.63453030863161,0.689910721171117,65.3774323592555,69.0082562919144,3.63377828217683,184628263.362698,-2037.91745916984,-2296.83681133647,-50.0016322721539
4000,-1690.87530501591,-17837.5243998439,,-371.241658700953,,,224814.713189989,62.6063499401204,62.8038837853404,10.679126458864,410.622578676972,4.90767644970445,4.90939088690914,2.11079061146326,0.00304416066669077,0.501776616607834,0.501758242742222,0.834659685454665,1.11203078496751e-05,0.476017128275349,0,65.3857697670316,68.9978995593296,3.63419290290633,0.484267985024978,65.3774329846033,69.0082596243238,3.63377867151007,184628264.750993,-2037.89114443219,-2297.15829952272,-49.967607563711
4500,-1690.87530513079,-17837.5330349023,,-371.241662756041,,,224814.713247062,62.6063488739292,62.8038849453767,10.6791258652506,410.622578699811,4.90767645697452,4.9093908970335,2.11079059558522,0.00304416066665697,0.501776614372347,0.501758240504315,0.834659684835147,1.11203078498016e-05,0.47601713112561,0,65.3855969142981,68.9985647761286,3.63417841668894,0.412516703737685,65.3774334457815,69.0082612973994,3.63377885989891,184628265.258585,-2037.87466196439,-2297.23856966586,-49.9665745165433
5000,-1690.87530519681,-17837.6481794605,,-371.241663841619,,,224814.713278547,62.6063460378898,62.8038857929591,10.6791254229606,410.622578710307,4.90767645993509,4.90939090057975,2.11079058222711,0.00304416066664694,0.501776614426127,0.501758240555218,0.834659688610794,1.11203078498699e-05,0.476017137662102,0,65.382652067676,69.0011343676764,3.63413900488325,0.289189234911341,65.3774340248523,69.0082625820362,3.63377894491931,184628266.065791,-2037.5386278603,-2297.59266186832,-49.9630289381329
