Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-781.239185354015,-5231.51492455095,,-61.6354906140253,1038.0882549872,-0.0104673098539842,39965.1333964392,47.9632113036927,48.4919134176895,6.04374070575266,182.49417627676,3.98111526182401,3.98678026059879,1.5211690908501,0.00639293252053077,0.661830647582829,0.661765546408301,1.09842500294675,4.67083642313619e-05,0.740094737671085,-9.73735694058035e-11,47.8202474689117,53.2512078475395,1.91532318374051,16.1616748281705,47.7107381279438,53.4371410038563,1.90391253511605,10940170.2906383,-1432.92298814695,-1769.87265229581,-26.2988162637909
1000,-781.239657686776,-5236.9044209877,,-61.634799415632,1038.09359160039,-0.0104717455531416,39965.1831415188,47.9617686540238,48.4923324658588,6.04263083950959,182.494229805236,3.98108843392922,3.98675679038245,1.52108396982105,0.00639293339718638,0.661883931230563,0.661818831887403,1.09861178339966,4.67084040568873e-05,0.74038127731374,9.42315331630162e-10,47.7695713337007,53.3498095755386,1.90893147922895,3.71705158315795,47.7098333520118,53.4376064497478,1.90397958518559,10940226.5319615,-1428.92376999299,-1779.33633492962,-25.939741887362
1500,-781.239752015777,-5237.39165536045,,-61.6346371004428,1038.09449345878,-0.0104733822327342,39965.1933409644,47.9612881142471,48.4924325477414,6.04246753117452,182.494241894661,3.98108875764957,3.9867584767769,1.52107450253213,0.00639293341570425,0.661887315983466,0.661822213094801,1.09863861250985,4.67084081211274e-05,0.740413563327815,-1.70215187926025e-10,47.7425286841897,53.362503800544,1.90703382953898,1.76746793833535,47.7096303883249,53.4376933084952,1.90399151513973,10940236.0364371,-1426.61983020246,-1780.34873759996,-25.8132089669306
2000,-781.239790205554,-5239.33151592091,,-61.6343139511011,1038.09486232697,-0.010474174209877,39965.1977662265,47.9611883145324,48.4925306934043,6.04239907765887,182.494248101861,3.98109136159362,3.98676129393008,1.52107271469378,0.00639293330454805,0.661885446104683,0.661820345794335,1.09864374049051,4.67084067025346e-05,0.740412680637179,-1.3771797321064e-10,47.738967914603,53.3988997969872,1.90597300561331,0.981618344315416,47.7095712159623,53.4378086226226,1.90399847570034,10940239.923853,-1426.35357479511,-1784.46699105284,-25.739826655412
2500,-781.239805896828,-5239.85907881075,,-61.6344129643941,1038.09508746914,-0.0104744398010527,39965.2000425828,47.9611002146472,48.4925684051796,6.04237010965637,182.494251264567,3.98109160587934,3.98676173578633,1.52107112230411,0.00639293326795259,0.661885477935538,0.66182037811984,1.0986464747032,4.67084066137335e-05,0.740415803608396,-1.00869247686576e-10,47.7339932734188,53.408989765354,1.90553864750906,0.464591971173649,47.7095471451735,53.4378557949673,1.90400194252218,10940242.2965738,-1425.94777819058,-1785.4640920122,-25.7084015718641
3000,-781.239813562729,-5239.88660358093,,-61.6344213761826,1038.09515549262,-0.0104746008963077,39965.2008067245,47.961052159582,48.4925893235931,6.04235838893632,182.494252151601,3.98109210423524,3.9867623520711,1.5210708123232,0.00639293326406968,0.66188509376809,0.661819993552993,1.09864709451651,4.67084066898746e-05,0.740415651812887,1.05169712185385e-10,47.7245363688192,53.41020899873,1.9055205857992,0.31516300577989,47.7095425543911,53.4378805162209,1.90400349321823,10940243.0134575,-1425.01872412289,-1785.54920002743,-25.708645752733
3500,-781.239817579089,-5239.90484434593,,-61.6344087463768,1038.09520682474,-0.0104747031973401,39965.2012117919,47.9610288060459,48.4925925442462,6.04234741015449,182.494252543224,3.98109213999889,3.98676243362281,1.52107041744995,0.00639293327083872,0.661884977593149,0.661819877477892,1.09864785861787,4.67084069282977e-05,0.740415968394816,-9.60962200648182e-11,47.721928250868,53.4111446694417,1.90498404598893,0.186207426952598,47.7095287547258,53.4378826743029,1.90400416726494,10940243.5544347,-1424.77041531554,-1785.62811136404,-25.6633373681804
4000,-781.239819934042,-5240.65109035756,,-61.6344153641289,1038.0952296282,-0.0104747961325795,39965.2014749059,47.9610155169959,48.492600282162,6.04234274240303,182.494252878033,3.98109220574483,3.98676253911743,1.52107021603238,0.00639293326967525,0.661884893236733,0.661819793017608,1.09864824276741,4.67084070010581e-05,0.74041607510395,2.19629160049677e-10,47.720985621855,53.4240752683116,1.90493487560407,0.13646268165394,47.7095244315299,53.437892803121,1.9040049668867,10940243.7947551,-1424.68884980545,-1787.26997113624,-25.6604349146883
4500,-781.239821350703,-5240.72800536013,,-61.6344218907321,1038.09524670393,-0.0104748291470065,39965.2016491778,47.9610057264675,48.4926029745206,6.04233779214516,182.494253101256,3.98109223624992,3.98676258891067,1.52107006150186,0.00639293326832838,0.661884847925248,0.661819747707449,1.09864849787136,4.67084070295793e-05,0.740416113992311,-8.40882923909534e-11,47.7161990342257,53.4248573344526,1.90455880123087,0.0972117181538015,47.7095221542406,53.4378957321946,1.90400549036072,10940243.9747122,-1424.15910854665,-1787.35511576476,-25.626281358999
5000,-781.239822269585,-5240.74910530009,,-61.634422963864,1038.09525750409,-0.0104748766705864,39965.20176851,47.9610005393544,48.492605948568,6.04233590808795,182.494253257309,3.98109228004668,3.98676264742759,1.52106999801353,0.00639293326776944,0.661884784635989,0.661819684381612,1.09864862002241,4.67084070593927e-05,0.740416025718225,4.04531969113933e-11,47.7159597097141,53.4264049915739,1.90456971739739,0.0732575491390888,47.7095194289383,53.4378994537083,1.90400578466759,10940244.0885325,-1424.13895473553,-1787.52035079793,-25.6282050814507
