Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-1705.37271528779,-18336.1067831687,,-3.28192866664161,8821.9509677913,-0.00527146592276255,228015.098901947,48.2684798411925,48.4139273949715,6.04055980156678,413.535174072765,3.98390227807193,3.98520542372891,1.52093652113417,0.00302271898950035,0.661817611263791,0.661802735188894,1.09835799205994,1.09642011201327e-05,0.739938462496784,0,50.4141334430619,52.7060219246486,1.91222694495372,291.220448292052,50.246390129996,53.0153150075798,1.90153620980063,188582976.225131,-1580.06385313218,-1735.40877253797,-26.1791771380153
1000,-1705.37360905992,-18345.5162684299,,-3.28067848714529,8822.01140664278,-0.00528073230806158,228015.347743212,48.2648488411501,48.4142385138113,6.03899388165232,413.535265696719,3.98384725457655,3.98515501463701,1.52076044577502,0.00302271927401724,0.661930738140685,0.661915863048229,1.09874732940065,1.09642084206713e-05,0.740508596093074,0,50.3079453463876,52.8730489777635,1.90791087731251,126.368890425365,50.2445893573254,53.0156064041595,1.90158725454358,188584268.199948,-1572.22737671285,-1750.74945258025,-25.9701557487494
1500,-1705.37379255257,-18349.3477896692,,-3.28051969441262,8822.03227953209,-0.00528119129529783,228015.412845435,48.2644742850065,48.4142921399572,6.03865790594156,413.535300285394,3.98384813074057,3.98515603829718,1.52074177073652,0.0030227191277506,0.661928202972851,0.661913327681591,1.09877758565536,1.09642075229961e-05,0.740529970209264,0,50.2776946333076,52.9409557542983,1.90488319712224,65.5590205097103,50.244260116191,53.0155809774585,1.90161210419905,188584714.390548,-1569.51488292237,-1757.79160108753,-25.7765633293942
2000,-1705.37386822085,-18349.9293429212,,-3.28059077696202,8822.0437018111,-0.00528273816831873,228015.43725373,48.2642715136505,48.4143556659543,6.03855692324031,413.535310072754,3.98384842395765,3.98515670319492,1.52073522343848,0.00302271911299273,0.661927150537144,0.661912275411078,1.09878942854283,1.09642075713154e-05,0.740536832072962,0,50.2778622042488,52.9543728301342,1.90441779114924,30.6325015943156,50.2441199100909,53.0156358139213,1.90161492440623,188584958.559596,-1569.6593142732,-1758.99843034188,-25.7498729227201
2500,-1705.37390137711,-18350.0363962894,,-3.28063413388948,8822.04783809791,-0.00528291175257725,228015.44886167,48.2642165899532,48.4143763873039,6.03851380998769,413.535314702851,3.98384988205257,3.98515823322365,1.52073325133518,0.00302271911427318,0.661925112569795,0.661910237458449,1.09879152119477,1.09642077454653e-05,0.740533755274005,0,50.2737496538763,52.9576323896323,1.90402559064555,18.4444923001343,50.2440809181574,53.015639285531,1.90161816770043,188585046.979185,-1569.3026711809,-1759.28256565451,-25.7230149436857
3000,-1705.37391686029,-18351.298862009,,-3.28062806913873,8822.0498286853,-0.00528322026182493,228015.454746117,48.2641339709778,48.4144013500275,6.03847780926376,413.535317326271,3.98384984110591,3.98515829127143,1.52073128918722,0.0030227191058153,0.661925167034219,0.66191029179659,1.09879533276961,1.09642076946932e-05,0.740537030673503,0,50.2612314710858,52.979832174736,1.90350468351689,12.6160801571723,50.2440538455989,53.0156704501104,1.90162052886577,188585089.531098,-1568.1021097424,-1761.78856616085,-25.6862703763383
3500,-1705.37392543559,-18352.3235089087,,-3.28065550083137,8822.05149611683,-0.00528331631028292,228015.458389557,48.2641217100411,48.4144117006222,6.0384577577947,413.535318919074,3.98385004394738,3.98515852053614,1.52073043516116,0.00302271910222027,0.661924970343976,0.661910095041965,1.0987967314,1.09642076918716e-05,0.74053780294502,0,50.2628864222639,52.9973980488638,1.90263916729308,7.53293900886121,50.2440381116043,53.0156800597547,1.90162337178914,188585125.175051,-1568.28482761673,-1763.97622313388,-25.6144755414189
4000,-1705.37393018169,-18352.3847140433,,-3.28067538815274,8822.05207365197,-0.00528343679155115,228015.460060077,48.2640910896436,48.4144182594394,6.03844891334729,413.535319642163,3.98385012014357,3.98515861448884,1.52072987570371,0.00302271910125021,0.661924901825672,0.66191002655346,1.09879775347376,1.09642077009851e-05,0.740538338592659,0,50.2535932344317,52.9995202883394,1.9027082811664,5.83268254431572,50.2440341388625,53.0156864042397,1.90162453985347,188585137.520766,-1567.32493323872,-1764.17599312679,-25.6228691151132
4500,-1705.37393311068,-18352.3871804359,,-3.28068373069827,8822.05236099876,-0.00528351395870479,228015.461147299,48.2640808483776,48.4144183478414,6.03844147383966,413.535320125053,3.9838501613504,3.98515866924306,1.52072956825566,0.00302271910029561,0.661924779108558,0.661909903835909,1.0987982634139,1.09642077008438e-05,0.740538338915489,0,50.2536591478415,52.9999538699559,1.90257839924426,5.02727154591122,50.2440253844358,53.0156840803578,1.9016252927517,188585143.663252,-1567.34630373368,-1764.21767373666,-25.6134477403837
5000,-1705.37393503328,-18352.4420621072,,-3.28068442219242,8822.05280439569,-0.00528353048032045,228015.461909085,48.2640751734625,48.4144211367035,6.03843638540263,413.53532043065,3.98385018653877,3.98515870343981,1.52072934500592,0.00302271909995808,0.661924826444284,0.661909951180069,1.09879883608733,1.09642077024844e-05,0.740539049535212,0,50.253214520675,53.0011733287508,1.90218840233656,3.64230696289728,50.2440225030895,53.0156869606273,1.90162559126431,188585153.141554,-1567.31156641887,-1764.34179683101,-25.5780038935584
5500,-1705.37393628664,-18352.4889682281,,-3.28068672382256,8822.05300905012,-0.00528355654112409,228015.462435995,48.2640724469058,48.4144237340736,6.03843443051119,413.535320661875,3.9838502418264,3.98515876758777,1.52072923945389,0.00302271909903085,0.661924755619144,0.661909880334471,1.09879898066839,1.09642076947459e-05,0.740538959746479,0,50.2531147031328,53.0024308420312,1.90223201237211,3.03078916670633,50.2440210804653,53.015689715824,1.90162594973403,188585157.516362,-1567.30244686277,-1764.47652264634,-25.5826449174084
6000,-1705.37393716035,-18352.4958285475,,-3.28069047524024,8822.05342110349,-0.00528360222568494,228015.462787302,48.2640690595135,48.4144245198574,6.0384320535393,413.535320804983,3.98385025262959,3.98515878307906,1.52072913055984,0.00302271909870119,0.661924739441582,0.661909864174055,1.09879915461164,1.09642076936063e-05,0.74053903988691,0,50.2532256154641,53.0027428130572,1.90218945069348,1.68611092557956,50.2440185209833,53.015690386661,1.90162620261226,188585166.324646,-1567.32164662993,-1764.50633737938,-25.5797120598982
