Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r^2_2,1/r^2_23,1/r_1,1/r_12,1/r_2,1/r_23,r_1,r_12,r_2,r_23,r^2_1,r^2_12,delta(r_1),delta(r_12),delta(r_2),delta(r_23),drach_delta(r_1),drach_delta(r_12),drach_delta(r_2),drach_delta(r_23),prval(r_1),prval(r_12),prval(r_2),prval(r_23)
500,-6664.9614617229,-531819.814500086,,-3.40418657327941,,,5472392.69390374,62.7472219930769,62.7701969287967,10.6804968530836,1654.1459610368,4.9087227817516,4.90888609047461,2.11078774843822,0.00090681232899692,0.501754633668362,0.50175283341011,0.834631985000936,1.09641143152939e-06,0.475858536358868,1439661284.26602,67.598353589924,68.2861423869242,3.65046479909016,1440692116.42724,67.5884650329902,68.6858140020208,3.63210835238068,-146521038866.377,-2185.46439991012,-2237.92576373808,-51.0197922276395
1000,-6664.96224822999,-531967.809231151,,-3.41567128465661,,,5472397.57587334,62.7490177049784,62.7727722602505,10.6782025419994,1654.14611108572,4.90874986876208,4.90891338819772,2.11070407575144,0.00090681230365387,0.501767507713014,0.501765707510729,0.834666221737461,1.09641146781271e-06,0.475980137565565,1440151764.6108,67.650316026296,68.5249409807855,3.64381546665074,1440693662.60498,67.5906186634798,68.6893223797913,3.63259105905477,-146611254155.095,-2189.50699873936,-2259.94053304946,-50.7155046165313
1500,-6664.96236483247,-532064.729911855,,-3.41691376031868,,,5472398.48830651,62.7491512499959,62.7732181524198,10.6777712477892,1654.14613176406,4.90875209290655,4.90891572885048,2.11068879613262,0.000906812293078788,0.501771613124411,0.501769812867462,0.834673605855265,1.09641142392152e-06,0.476011377413639,1440440174.67015,67.6491492043275,68.6164246945389,3.63861550532052,1440693958.56948,67.5910037591642,68.6899245369379,3.63267846694632,-146667463445.65,-2189.46549185144,-2269.50034490434,-50.3755795230572
2000,-6664.96240093437,-532083.336784108,,-3.41735825302751,,,5472398.84177713,62.7490789972663,62.7733890577079,10.6776294921381,1654.14613724689,4.90875213902727,4.90891588276188,2.11068247383339,0.000906812293494188,0.501772191158615,0.501770390879701,0.834675610234288,1.09641142759188e-06,0.47601622282246,1440521925.66263,67.6304211388146,68.6408258211324,3.63658523235365,1440694072.95168,67.5912011755442,68.6901662095084,3.63270490066449,-146683556182.409,-2187.81865176801,-2272.03003356086,-50.2321887291121
2500,-6664.96241408992,-532105.801935253,,-3.4176213567175,,,5472398.97504428,62.7490611601327,62.7734427032368,10.6775542351664,1654.1461393667,4.90875270420244,4.90891647590726,2.11067978802389,0.000906812292821924,0.501772196553484,0.501770396292738,0.834676016302738,1.09641142552055e-06,0.47601782851086,1440605561.92516,67.6190938910197,68.6436806625017,3.6341826141128,1440694116.22755,67.5912688194568,68.690235977296,3.63272096658745,-146700874168.626,-2186.73133719922,-2272.27463600208,-50.0369944062242
3000,-6664.96241901955,-532106.888123394,,-3.41773379221288,,,5472399.01873763,62.7490387766473,62.7734743705379,10.6775415277631,1654.14614023827,4.90875316500793,4.90891695547436,2.11067917354405,0.000906812292776236,0.501772180482107,0.501770380236079,0.834676152227029,1.09641142570964e-06,0.476018343440877,1440607615.169,67.6091582817493,68.6578435954491,3.63423403455719,1440694130.21002,67.591305198905,68.6902789637118,3.63272515378171,-146701216336.853,-2185.74757238574,-2273.92419124894,-50.0431717324793
3500,-6664.96242123885,-532108.44167723,,-3.41777497056778,,,5472399.03959339,62.7490286245445,62.7734893954851,10.6775292582753,1654.14614065755,4.90875321493255,4.90891701530212,2.11067884710415,0.000906812292662385,0.501772162183669,0.501770361932582,0.834676204296894,1.09641142541324e-06,0.47601854820292,1440613938.12899,67.605422083525,68.6666654805157,3.63396927391011,1440694136.91266,67.5913254211608,68.6903009979343,3.63272785799269,-146702479051.852,-2185.37732801764,-2274.98254518363,-50.0237349319948
4000,-6664.96242239006,-532108.831425172,,-3.41780035935862,,,5472399.05060513,62.7490287633474,62.7734973715199,10.6775247129042,1654.14614086478,4.9087533492345,4.90891715327956,2.11067871675879,0.00090681229261691,0.501772106094526,0.501770305847195,0.834676132896019,1.0964114252164e-06,0.476018489414142,1440615157.30414,67.6053373518753,68.673363234623,3.63391328989686,1440694140.44062,67.5913344406478,68.6903117889138,3.63272877940762,-146702710497.758,-2185.3758337655,-2275.83687045587,-50.0199491105041
4500,-6664.96242301109,-532120.953057323,,-3.41780720805108,,,5472399.06395458,62.7490226248999,62.773501201057,10.6775204844735,1654.1461409803,4.9087534041018,4.90891720938977,2.11067862873641,0.00090681229259935,0.50177209127437,0.501770291021968,0.834676114145977,1.09641142515219e-06,0.476018513837665,1440652738.17121,67.5997420987505,68.6741509175926,3.63332697734956,1440694144.87578,67.5913379170269,68.6903170141415,3.63272945433028,-146710962286.03,-2184.7562659136,-2275.91355775789,-49.9628249075474
5000,-6664.96242338475,-532120.821099088,,-3.4178174051519,,,5472399.06727388,62.7490205571716,62.7735039778433,10.6775188660614,1654.14614105079,4.90875341649427,4.90891722296793,2.11067856567237,0.000906812292588403,0.501772088545423,0.501770288296086,0.834676122951941,1.09641142510828e-06,0.476018530909007,1440652291.23708,67.5984222709342,68.6791982289501,3.63327130416917,1440694145.92338,67.5913409145237,68.6903210330152,3.63272994354945,-146710851913.847,-2184.62012321331,-2276.57043650872,-49.9581303191388
5500,-6664.9624236002,-532121.687498871,,-3.41782678812735,,,5472399.06985759,62.7490200325634,62.7735056989761,10.6775175283032,1654.14614108958,4.90875343306508,4.90891724127534,2.11067853083219,0.000906812292586648,0.501772082637014,0.501770282384596,0.83467611144358,1.09641142510671e-06,0.476018538369967,1440655274.56592,67.5983122169612,68.6797624266325,3.63323629936773,1440694146.76254,67.5913430509667,68.6903233425282,3.63273030216943,-146711496045.411,-2184.61208203572,-2276.63411241445,-49.9558353742261
6000,-6664.96242374149,-532128.462794699,,-3.41783052319013,,,5472399.0737049,62.7490196436834,62.7735064209653,10.6775167273414,1654.1461411198,4.90875344042915,4.90891724900117,2.11067850550963,0.000906812292582659,0.501772072308473,0.501770272058592,0.834676096984874,1.09641142511077e-06,0.476018512238382,1440677118.71603,67.5981131884084,68.6797263809915,3.63311992179246,1440694148.04204,67.5913443867548,68.6903243818145,3.63273059200547,-146716492407.668,-2184.59129759021,-2276.62157762199,-49.9439118031669
