Basis Size,Energy,MV,drach_MV,OO,SO1,SO2,1/r^2_1,1/r^2_12,1/r_1,1/r_12,r_1,r_12,r^2_1,r^2_12,delta(r_1),delta(r_12),drach_delta(r_1),drach_delta(r_12),prval(r_1),prval(r_12)
100,-14.6661876127332,-266.523542606259,-270.572672438545,-0.89174109667479,,,14.3938219579837,1.59138629506103,2.10690717210884,0.729411765567977,1.49113228037627,2.54092192860191,4.04019396340446,8.76320684292732,8.68070912091925,0.272965087520157,8.8380118242572,0.267368518280352,-217.053009056365,-1.48698546176033
200,-14.6667402339119,-268.195613438747,-270.693608429546,-0.890736530494623,,,14.3982626006445,1.59062513310974,2.10700599032482,0.729395601539389,1.49140174012811,2.54180143218947,4.04503513236872,8.77477976076964,8.74478464571833,0.271524769742067,8.84129509202891,0.267508163368546,-221.265203812372,-1.43408863985268
300,-14.6672828224583,-269.709187512787,-270.699530657606,-0.891805856777579,,,14.3989162722751,1.589621674885,2.10683807028816,0.729135433747822,1.49294269471445,2.54492719142375,4.05961713519574,8.80424817170178,8.80313206735026,0.268875768474869,8.84186427672662,0.267531311861565,-225.77937590837,-1.30914414459988
400,-14.6673249180953,-270.198564112127,-270.708428852046,-0.891852650254377,,,14.399255047813,1.58955919091849,2.10683431766812,0.729119774319055,1.4930602649784,2.54516989359185,4.06090534741833,8.80681759259998,8.82220284887467,0.268676569548666,8.84212286900923,0.267541199309579,-227.408691218243,-1.29959661974267
500,-14.66734057696,-270.190953500956,-270.705322079697,-0.891810586779458,,,14.3993228137195,1.58951321786559,2.10683703489743,0.72911867435971,1.49307801660835,2.54522421596203,4.06120457775615,8.80754038685818,8.82208209168518,0.268137997298945,8.84216710995768,0.267546316058532,-227.358659221475,-1.26620654443909
600,-14.6673445259951,-270.420403047985,-270.706805683827,-0.89183343849355,,,14.3993699123199,1.58950593762991,2.10683594758627,0.729116001629972,1.49310086371828,2.54526933250904,4.06146516915388,8.80805611534472,8.83079338125231,0.268132582087806,8.84220445293076,0.267547349230175,-228.202884872837,-1.26608560403383
700,-14.6673478029866,-270.425181214161,-270.707126011126,-0.891831676076308,,,14.3993837661589,1.58950041535641,2.10683566832746,0.729114736742207,1.49310824495517,2.54529040503039,4.0615487411814,8.80827874776697,8.83137134821342,0.268113867430333,8.84221368994404,0.267548161948824,-228.246741735564,-1.26514190919711
800,-14.6673503395393,-270.447437725993,-270.707079494107,-0.891829039628996,,,14.3993958248493,1.58949727712379,2.10683639958723,0.729115288113575,1.49310249895542,2.54528196191428,4.06150023178547,8.80818479868473,8.83217225405185,0.268075740096171,8.84222170436327,0.267548727861662,-228.316170368424,-1.26278531642195
900,-14.6673519816691,-270.572147456655,-270.705205603034,-0.891821938138344,,,14.3994121861953,1.58949000792372,2.10683703711926,0.729115565588543,1.49310095841469,2.54528111690228,4.06149375985093,8.80817664856872,8.83686174906439,0.267830220876166,8.84223387501322,0.267549494528419,-228.813037647344,-1.24473376995954
1000,-14.6673531093866,-270.571442060889,-270.705594585404,-0.891824505711776,,,14.3994189467101,1.58948790922758,2.1068372166087,0.729115411829308,1.49310185302081,2.54528467462578,4.06150839974016,8.8082198009288,8.8368651937576,0.267841896060577,8.84223842899609,0.267549713052259,-228.806851080093,-1.24602209056652
1100,-14.6673536576132,-270.569432776794,-270.705586499435,-0.891831008950671,,,14.3994208885438,1.58948675252286,2.10683723764388,0.729115272342031,1.4931038613722,2.5452887328688,4.06153640827992,8.80827185663754,8.83682779313784,0.26783576072599,8.84223933995439,0.267550005939418,-228.802073255873,-1.24574110615262
1200,-14.6673541629258,-270.56802608585,-270.705593943912,-0.891827817514537,,,14.3994232591016,1.58948619995755,2.10683735993568,0.729115291341668,1.49310419055125,2.54529038819031,4.0615431594342,8.80829480011404,8.83682258277342,0.267829206329458,8.84224090542376,0.267550127013077,-228.799854875122,-1.24537457548159
1300,-14.6673545629719,-270.579739463964,-270.705742848726,-0.891826888189313,,,14.3994261374267,1.58948550772343,2.10683744871385,0.729115311566715,1.49310413216479,2.5452904320605,4.06154484024056,8.80829634241953,8.8372873362355,0.267829804977733,8.84224294372537,0.267550265772374,-228.844768424186,-1.24551475421453
1400,-14.6673549070464,-270.578959386786,-270.705564318346,-0.891827225000108,,,14.3994274376914,1.58948481868784,2.10683754626965,0.729115362847513,1.49310343709473,2.54528980875727,4.06153978880361,8.80828966466231,8.83730417303327,0.267809124393753,8.84224373738855,0.267550348660767,-228.845657268573,-1.24401576229707
1500,-14.6673551897835,-270.644131720076,-270.704418983487,-0.891824524693532,,,14.3994299327781,1.58948346325994,2.1068376400527,0.72911541906527,1.49310292339472,2.54528933463422,4.06153589014962,8.808283875091,8.83962671574268,0.26768691515315,8.84224560243974,0.267550505083135,-229.121224276089,-1.23374899817893
1600,-14.6673554119583,-270.648857348429,-270.704613721678,-0.891824369171509,,,14.3994313989882,1.5894831673028,2.10683764154007,0.729115384358472,1.493102984247,2.54528980004699,4.06153729619442,8.80828938679212,8.83985646885447,0.267698855897269,8.84224670346407,0.267550518315003,-229.142118900807,-1.23487307020799
1700,-14.6673555884335,-270.647818602121,-270.704753414766,-0.891824412361897,,,14.3994324553921,1.58948299064859,2.10683769439718,0.729115386995435,1.49310296628938,2.54529005954906,4.06153868666465,8.80829416199509,8.83982925040949,0.267707449316661,8.84224739433807,0.267550559045149,-229.138166731396,-1.23569709460869
1800,-14.6673557291201,-270.652888735021,-270.704783377311,-0.891824933113843,,,14.399433334714,1.58948265517296,2.10683768345249,0.729115337580522,1.49310307934849,2.54529042286741,4.06153960968015,8.8082960869813,8.8399837693992,0.267706859584246,8.84224799279227,0.267550612711094,-229.15421958901,-1.23570496006707
1900,-14.6673558430158,-270.657954320141,-270.704736691169,-0.891824960457166,,,14.399434303035,1.58948225790931,2.1068376851225,0.729115314100049,1.4931031165866,2.54529059782716,4.0615400908391,8.80829751621814,8.84019482109444,0.267695010614315,8.84224871563755,0.267550644874089,-229.175945158022,-1.23480854994533
2000,-14.6673559328174,-270.655250113269,-270.704610425632,-0.891824340578107,,,14.3994347720734,1.58948192874555,2.10683769564412,0.72911530071341,1.49310317066732,2.5452908474151,4.06154107407758,8.8083006591816,8.84014774148329,0.267682702655218,8.84224905087958,0.267550681872068,-229.168976541496,-1.23382155917893
2100,-14.6673560091469,-270.654998787359,-270.704586986546,-0.89182385642127,,,14.3994351786077,1.58948173339018,2.10683770599663,0.729115295361391,1.49310310324746,2.54529083608665,4.06154066135854,8.80830047321406,8.84015688137558,0.267679334601584,8.84224931671127,0.267550705389828,-229.169042890042,-1.23355398212095
2200,-14.6673560729045,-270.655406092934,-270.70401855545,-0.891823697126499,,,14.3994354313034,1.58948135250607,2.10683771357075,0.729115292170419,1.49310308355022,2.54529087817428,4.06154067216803,8.80830087165231,8.84016435346927,0.267622647715372,8.84224948230476,0.267550751318893,-229.169647700667,-1.22830519836489
2300,-14.6673561272996,-270.654971959886,-270.70403988355,-0.89182391604591,,,14.3994355979845,1.58948122998215,2.10683772045453,0.729115283640711,1.49310312549278,2.54529100708055,4.06154155697911,8.80830267830273,8.84015996913156,0.26762310083773,8.84224958106005,0.267550768883157,-229.169109473033,-1.22839580053669
2400,-14.6673561731423,-270.653586205305,-270.704043649634,-0.891823661852401,,,14.3994362053081,1.58948116790965,2.10683773327259,0.729115290560406,1.49310304845689,2.54529095202198,4.06154096617749,8.80830199796944,8.84029632695368,0.267621701330051,8.84225004080346,0.26755078479697,-229.180745384507,-1.22826600758544
2500,-14.6673562117522,-270.65392622283,-270.70410105666,-0.891823804431772,,,14.3994364534297,1.58948111887757,2.10683774004634,0.729115290992358,1.49310302122341,2.54529094075692,4.06154078153166,8.80830176054716,8.84032670067767,0.267625180126975,8.84225021702246,0.267550795726181,-229.183692261852,-1.2286278429235
2600,-14.6673562454604,-270.654724463992,-270.704129268399,-0.891824100526617,,,14.3994365949718,1.58948106465747,2.10683774069613,0.729115282438071,1.49310302510566,2.54529100125056,4.06154074752565,8.80830193745616,8.84036074968051,0.267627102930116,8.84225030363951,0.267550803306714,-229.187708690743,-1.2288310479212
2700,-14.6673562750179,-270.654945181669,-270.704080893753,-0.891823863241172,,,14.399436719767,1.58948094397645,2.10683774265312,0.72911527579202,1.49310306581647,2.54529112330256,4.06154134116325,8.80830327975699,8.84036770921517,0.267621397441589,8.84225040311205,0.267550813751987,-229.188493444847,-1.22838706014235
2800,-14.667356300616,-270.654942927681,-270.704062291627,-0.891823820563295,,,14.399436818073,1.58948089360069,2.10683774833082,0.729115276918019,1.49310304475056,2.54529113651911,4.06154124566986,8.80830340618392,8.84037104184684,0.267619734434263,8.8422504525648,0.26755082467481,-229.188793199945,-1.22824455416145
2900,-14.6673563223488,-270.674261816165,-270.70405538247,-0.891823801254703,,,14.3994371122819,1.58948084996021,2.1068377543049,0.729115279382043,1.49310303446237,2.54529113108393,4.06154137098095,8.80830362377043,8.8410639200236,0.267618508060429,8.84225067417643,0.267550833218961,-229.278119820111,-1.22814082552971
