system        expectation_value  ref_value                      uncertainty                    source        
infBe_3Se-01  drach_MV           -2.687502781226640422574e+02   1.055954612638743128628e-07    our_calc_15000
infBe_3Se-01  OO                 -9.081543246800731772339e-01   2.966548717786565703136e-08    our_calc_15000
infBe_3Se-01  1/r^2_1            1.427540258902651970629e+01    5.725180329818613245152e-09    our_calc_15000
infBe_3Se-01  1/r^2_12           1.503343092914863898812e+00    1.134973004468520230148e-09    our_calc_15000
infBe_3Se-01  1/r_1              2.035968704557967967617e+00    4.863691671630476776045e-10    our_calc_15000
infBe_3Se-01  1/r_12             6.192273115341229150488e-01    4.331303093962901584746e-10    our_calc_15000
infBe_3Se-01  r_1                2.634249795269040017587e+00    1.315520226086164257140e-08    our_calc_15000
infBe_3Se-01  r_12               4.716121494183756368557e+00    2.076302063613866266678e-08    our_calc_15000
infBe_3Se-01  r^2_1              1.721863980900916146766e+01    2.180878304613997897832e-07    our_calc_15000
infBe_3Se-01  r^2_12             3.528478632131606218536e+01    3.798450691760990594048e-07    our_calc_15000
infBe_3Se-01  delta(r_1)         8.787221294451079245391e+00    6.158991473270702954323e-06    our_calc_15000
infBe_3Se-01  delta(r_12)        2.640468157503699786481e-01    1.259786731044876262331e-07    our_calc_15000
infBe_3Se-01  drach_delta(r_1)   8.787334355899051985261e+00    3.414880822560917295050e-09    our_calc_15000
infBe_3Se-01  drach_delta(r_12)  2.640402499258033275353e-01    4.012770116190722546889e-10    our_calc_15000
infBe_3Se-01  prval(r_1)         -2.279996130340801698821e+02   7.723994193611360969953e-04    our_calc_15000
infBe_3Se-01  prval(r_12)        -1.248719423993225996483e+00   1.228684849796657374554e-05    our_calc_15000
infBe_3Se-01  SO1                0.000000000000000000000e+00    0.000000000000000000000e+00    our_calc_15000
infBe_3Se-01  SO2                0.000000000000000000000e+00    0.000000000000000000000e+00    our_calc_15000

infLi_2Po-01  Energy             -7.4101565326516e+00           5.0e-13                        wang_pra_83_034503_2011
infLi_2Po-01  MV                 -7.750546923735166160441e+01   7.659793077152698970167e-05    our_calc_17500
infLi_2Po-01  drach_MV           -7.750562144459853186618e+01   1.305253633177017036360e-06    our_calc_17500
infLi_2Po-01  OO                 -3.964257416531519750968e-01   5.240562983566121602053e-10    our_calc_17500
infLi_2Po-01  1/r^2_1            9.966999628675120348476e+00    1.546762717907768092118e-10    our_calc_17500
infLi_2Po-01  1/r^2_12           1.421872071376091950512e+00    7.016232039802616782254e-11    our_calc_17500
infLi_2Po-01  1/r_1              1.879635316671872002914e+00    3.085531830038235057145e-12    our_calc_17500
infLi_2Po-01  1/r_12             6.988015949157251327506e-01    8.338441048749700712506e-12    our_calc_17500
infLi_2Po-01  r_1                1.957121250065348094793e+00    8.011524776918577117613e-11    our_calc_17500
infLi_2Po-01  r_12               3.470696240730242188022e+00    3.511382296039755601669e-10    our_calc_17500
